fault_id,affect_business,affect_info,business_break_time,create_time,is_delete,other_info,pop_fault_reason,pop_fault_reason_name,pop_fault_seg,pop_fault_seg_detail,pop_fault_time,pop_repair_charge_man,pop_repair_plane,pop_sys,pop_type,repair_status,repair_status_name,repair_type,reserved_field,seg_data,send_email_type,update_time,estimated_repair_completion_time,estimated_ship_departure_time,repair_progress,actual_ship_departure_time,affect_direction,arrival_service_area_time,business_recovery_reason,business_recovery_time,confirm_repair_plan_time,confirm_repair_ship_time,estimated_confirm_plan_time,estimated_maintenance_permit_time,latitude,longitude,obtain_repair_permit_time,pop_repair_boat,pop_repair_dyn_info,pop_repair_remark,repair_boat,repair_done_time,request_maintenance_permit_time,start_maintenance_operations_time,timestamp,exist_flag
153,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",,2022-03-28 17:07:32,0,"{""faultDuration"":""275天16小时56分钟"",""sectionDir"":""Lingang-Viawest, Hillsboro ;Nanhui-Viawest, Hillsboro ;Nanhui-Maruyama ;Nanhui-Toucheng ;Nanhui-Busan ;"",""opretionProcess"":""暂无""}",0,未知,S3,S3 (NHI-BU1),在第五次修复才发现，不知具体中断时间,王冲,12月16日-12月30日,NCP,参建海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",4,2023-01-31 14:24:09,,,,,"中日,中美",,,2022-12-29 10:03,,,,,,,,CU,-,17991582,FYHG,2022-12-29 10:03,,,,1
155,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",2023-06-26 15:30,2022-03-28 17:07:32,0,"{""faultDuration"":""566天9小时56分钟"",""sectionDir"":""关丹-香港 ;"",""opretionProcess"":""暂无""}",0,未知,S2,KUA-LNT （马来西亚关丹-中国香港）,2021-12-13 07:19:00,王冲,6月26日-7月2日,APCN2,参建海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",4,2023-07-03 09:00:12,,,,,中马,,,2023-07-02 17:15,,,,,,,,TM,6月26日 7：30UTC开始维修,旁路故障，绝缘保护层破损导致铜导体接触到海水，包裹的光纤正常，当前业务不受影响，维修时业务会中断,C.S.ASEAN Explorer,2023-07-02 17:15,,,,1
156,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",,2022-03-28 17:07:32,0,"{""faultDuration"":""141天14小时29分钟"",""sectionDir"":""崇明-北茨城 ;崇明-釜山 ;"",""opretionProcess"":""暂无""}",0,未知,S4A,CHM-BU1 （中国上海崇明-BU1）,2022-02-21 07:30:00,田信国,7月8日-7月12日,APCN2,参建海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",,2022-07-25 03:06:14,,,,,中日,,没有业务受影响,,,,,,,,,CT,-,20220221001,C.S.KOL,2022-07-12 21:59:00,,,,1
157,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",,2022-03-28 17:07:32,0,"{""faultDuration"":""86天20小时59分钟"",""sectionDir"":""汕头-加东 ;汕头-八打雁 ;"",""opretionProcess"":""暂无""}",0,未知,S8C,S8C (KAT-BU4),2022-03-19 09:16:00,田信国,已完成,APCN2,参建海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",,2022-06-24 03:53:39,,,,,中新,,,,,,,,,,,Singtel,-,20220319001,ASEAN Restorer,2022-06-14 06:15:00,,,,1
158,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",,2022-03-28 17:07:32,0,"{""faultDuration"":""183天18小时40分钟"",""sectionDir"":"""",""opretionProcess"":""暂无""}",0,未知,S4.13,S4.13 (Mumbai - BU46),2022-03-14 06:15:00,田信国,9月11日-9月15日,SMW3,参建海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",,2022-09-20 07:59:45,,,,,,,,2022-09-14 00:55:00,,,,,,,,KDDI,,,-,2022-09-14 00:55:00,,,,1
159,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",,2022-03-28 17:07:32,0,"{""faultDuration"":""249天20小时6分钟"",""sectionDir"":""暂无"",""opretionProcess"":""暂无""}",0,未知,S3,S3 (BU-COO),2021-06-06 18:30:00,Jerry,待定,SAT-3,外租海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",,2022-05-03 02:57:02,,,,,,,*客户退租,,,,,,,,,Angola Telecom,-,20210606-B0088 TT_00396628/2021,-,2022-02-11 14:36:00,,,,1
160,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",2021-10-12 11:17,2022-03-28 17:07:32,0,"{""faultDuration"":""990天7小时13分钟"",""sectionDir"":"""",""opretionProcess"":""暂无""}",0,未知,Seg. M,QDO-BU5 (中国山东青岛-BU5),2021-10-12 11:17:00,Terrence,待定,EAC,外租海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",4,2024-07-05 14:32:44,,,预计6月7日获取许可，6月11日船只出港维修,,,,Telstra已将业务导通到其他正常的芯缆,2022-06-17 15:00,,,,,,,,CU,-,纤芯故障，相关业务已导通到其他正常的纤芯，故障不影响业务,-,2024-06-28 18:30:00,,,,1
161,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",,2022-03-28 17:07:32,0,"{""faultDuration"":""44天2小时55分钟"",""sectionDir"":""暂无"",""opretionProcess"":""暂无""}",0,未知,Seg. DF,Seg. DF (HKG-Korea),2022-02-21 06:07:00,Terrence,3月27日-4月4日,EAC,外租海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",,2022-05-03 02:58:53,,,,,,,,,,,,,,,,Telstra,-,SNI2323037,-,2022-04-06 09:02:00,,,,1
162,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",,2022-03-28 17:07:32,0,"{""faultDuration"":""141天1小时14分钟"",""sectionDir"":"""",""opretionProcess"":""暂无""}",0,未知,S1i,S1i (Mersing-HKG),2021-10-22 23:25:00,Penny,已完成,AAG,外租海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",,2022-03-28 17:07:32,,,,,,,,,,,,,,,,-,-,HK20211022-04,C.S.ASEAN Explorer,2022-03-13 00:39:00,,,,1
163,否,"{""relayNum"":0,""affectNum"":0,""rate"":""""}",2021-10-22 23:25:00,2022-03-28 17:07:32,0,"{""faultDuration"":""72天14小时33分钟"",""sectionDir"":"""",""opretionProcess"":""暂无""}",0,未知,S1G,S1G (BU3-BU4),2022-03-15 17:22:00,Penny,5月13日-29日,AAG,外租海缆,4,已结束,故障,2022-03-28,"[""AAE-1"",""AAG"",""ADC"",""APCN2"",""APG"",""ASC"",""ASE"",""C2C"",""CSCN"",""EAC"",""EASSY"",""FNAL/RNAL"",""IMEWE"",""MAINONE"",""MCT"",""NCP"",""PEACE"",""SAT-3"",""SEACOM"",""SEAX-1"",""SJC"",""SMW3"",""SMW4"",""SMW5"",""TGN-IA"",""TPE"",""TSE-1"",""WACS""]",,2022-06-24 03:45:05,,,,,,,2021年10月时因AAG S1i和S1G故障业务已中断,,,,,,,,,-,-,HK20211022-04,-,2022-05-27 07:55:00,,,,1
